City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,darnah,32.767,22.6367,17.590000000000032,59,23,5.66,LY,1670184511
148,havre-saint-pierre,50.2334,-63.5986,1.2000000000000455,75,100,11.32,CA,1670183938
149,fortuna,40.5982,-124.1573,9.960000000000036,93,75,6.17,US,1670183926
150,naze,28.3667,129.4833,19.99000000000001,85,96,6.82,JP,1670184512
151,vao,-22.6667,167.4833,24.510000000000048,88,100,9.14,NC,1670184512
152,najran,17.4924,44.1277,15.53000000000003,39,0,0.13,SA,1670184513
153,bethel,41.3712,-73.414,6.2000000000000455,48,0,2.57,US,1670184511
154,salacgriva,57.7536,24.3581,-1.2099999999999795,95,99,3.02,LV,1670184514
155,poum,-20.2333,164.0167,26.629999999999995,82,99,9.21,NC,1670184514
156,smithers,54.7804,-127.1743,-10.92999999999995,83,68,1.13,CA,1670184314
157,yokadouma,3.5167,15.05,23.24000000000001,60,5,0.79,CM,1670184515
158,arraial do cabo,-22.9661,-42.0278,25.920000000000016,73,75,11.32,BR,1670184515
159,nome,64.5011,-165.4064,1.0400000000000205,81,100,10.8,US,1670184001
160,tsiroanomandidy,-18.7667,46.0333,19.350000000000023,92,100,1.56,MG,1670184516
161,kaniv,49.7518,31.46,-3.6299999999999955,48,90,5.4,UA,1670184516
162,new norfolk,-42.7826,147.0587,12.720000000000027,71,100,1.34,AU,1670184517
163,provideniya,64.3833,-173.3,0.6800000000000068,98,100,6.01,RU,1670184517
164,peleduy,59.6289,112.7406,-15.279999999999973,93,100,8.2,RU,1670184517
165,beringovskiy,63.05,179.3167,-8.739999999999952,82,100,5.4,RU,1670184518
166,olafsvik,64.8945,-23.7142,6.230000000000018,70,96,2.94,IS,1670184060
167,chardara,41.2547,67.9692,-3.4599999999999795,54,100,4.18,KZ,1670184518
168,bambous virieux,-20.3428,57.7575,24.560000000000002,77,57,5.1,MU,1670184519
169,san juan,-31.5375,-68.5364,34.34000000000003,17,0,1.91,AR,1670184519
170,nagato,34.3833,131.2,9.910000000000025,64,100,4.94,JP,1670183991
171,lavrentiya,65.5833,-171.0,0.020000000000038654,98,100,11.44,RU,1670184075
172,arcos de la frontera,36.7508,-5.8106,14.420000000000016,80,100,2.51,ES,1670184520
173,port lincoln,-34.7333,135.8667,15.200000000000045,69,100,7.92,AU,1670184521
174,hovd,48.0056,91.6419,-17.49999999999997,81,100,1.01,MN,1670184067
175,zachary,30.6485,-91.1565,22.640000000000043,76,75,1.54,US,1670184521
176,peniche,39.3558,-9.3811,13.490000000000009,91,57,8.3,PT,1670184522
177,cartagena del chaira,1.3349,-74.8429,32.75,40,76,2.13,CO,1670184269
178,chachapoyas,-6.2317,-77.869,23.28000000000003,26,9,3.45,PE,1670184522
179,edinet,48.1681,27.305,-0.7299999999999613,73,100,6.73,MD,1670184523
180,lagoa,39.05,-27.9833,15.430000000000007,66,100,6.52,PT,1670184523
181,manono,-7.3,27.4167,20.010000000000048,95,100,1.15,CD,1670184524
182,trinidad,-14.8333,-64.9,34.99000000000001,46,40,2.06,BO,1670184525
183,puerto escondido,15.85,-97.0667,29.460000000000036,61,0,4.12,MX,1670184525
184,salinas,36.6777,-121.6555,15.460000000000036,66,0,2.57,US,1670184331
185,dali,25.7,100.1833,6.180000000000007,66,2,0.94,CN,1670184526
186,mwinilunga,-11.7358,24.4293,17.57000000000005,87,100,2.74,ZM,1670184526
187,xudat,41.631,48.681,2.230000000000018,93,100,1.57,AZ,1670184526
188,saraland,30.8207,-88.0706,24.340000000000032,76,66,1.57,US,1670184527
189,isangel,-19.55,169.2667,27.460000000000036,78,100,2.05,VU,1670184038
190,cabo san lucas,22.8909,-109.9124,29.78000000000003,61,20,0.0,MX,1670184392
191,byron bay,-28.65,153.6167,17.75,89,92,4.21,AU,1670184262
192,souillac,-20.5167,57.5167,24.230000000000018,76,72,4.82,MU,1670184528
193,san patricio,28.017,-97.5169,20.650000000000034,72,100,2.32,US,1670184335
194,lucea,18.451,-78.1736,28.810000000000002,59,1,8.03,JM,1670184528
195,caravelas,-17.7125,-39.2481,21.720000000000027,94,100,3.91,BR,1670184529
196,kwinana,-32.25,115.7667,17.32000000000005,80,5,5.02,AU,1670184529
197,mar del plata,-38.0023,-57.5575,29.010000000000048,23,0,8.23,AR,1670183808
198,luderitz,-26.6481,15.1594,16.980000000000018,69,47,9.12,NA,1670183997
199,lasa,46.6166,10.7002,3.3500000000000227,98,86,2.07,IT,1670184530
200,montrose,38.4166,-108.2673,3.740000000000009,70,100,2.99,US,1670184416
201,jacareacanga,-6.2222,-57.7528,28.920000000000016,77,69,0.83,BR,1670184530
202,nikolskoye,59.7035,30.7861,-4.060000000000002,95,100,3.4,RU,1670184034
203,krasnaya polyana,56.242,51.1442,-16.579999999999984,94,100,2.73,RU,1670184531
204,haldwani,29.2167,79.5167,14.900000000000034,73,1,1.68,IN,1670184531
205,chokurdakh,70.6333,147.9167,-38.329999999999984,100,34,1.63,RU,1670184532
206,igrim,63.1906,64.4162,-15.949999999999989,98,94,1.15,RU,1670184532
207,kiunga,-6.1219,141.2906,21.83000000000004,98,100,0.7,PG,1670184167
208,te anau,-45.4167,167.7167,12.120000000000005,90,99,1.73,NZ,1670184533
209,barrow,71.2906,-156.7887,-6.989999999999952,86,100,12.86,US,1670184533
210,leningradskiy,69.3833,178.4167,-13.339999999999975,88,100,2.01,RU,1670183976
211,wattegama,6.7989,81.4808,22.80000000000001,92,100,1.42,LK,1670184534
212,semnan,35.5729,53.3971,4.28000000000003,48,100,2.07,IR,1670184240
213,butaritari,3.0707,172.7902,26.930000000000007,79,25,6.31,KI,1670184535
214,samana,19.2056,-69.3369,29.120000000000005,74,40,5.14,DO,1670184535
215,anadyr,64.75,177.4833,-10.839999999999975,92,100,9.04,RU,1670184536
216,daokou,35.5639,114.5058,0.7200000000000273,36,91,2.56,CN,1670184536
217,khandyga,62.6667,135.6,-30.98999999999998,98,100,1.28,RU,1670184536
218,oksfjord,70.2396,22.3479,-2.8999999999999773,82,7,3.61,NO,1670184537
219,barra do garcas,-15.89,-52.2567,26.04000000000002,81,100,2.92,BR,1670184537
220,mao,39.8885,4.2658,16.310000000000002,82,75,2.57,ES,1670184537
221,zhezkazgan,47.8043,67.7144,-17.149999999999977,89,7,2.34,KZ,1670184538
222,malakal,9.5334,31.6605,27.970000000000027,30,21,2.61,SS,1670184538
223,sarai,53.7458,41.0213,-10.349999999999966,74,1,2.45,RU,1670184539
224,saldanha,-33.0117,17.9442,16.58000000000004,77,31,8.93,ZA,1670184539
225,pangkalanbuun,-2.6833,111.6167,23.33000000000004,98,97,0.53,ID,1670184540
226,henties bay,-22.116,14.2845,15.230000000000018,87,3,3.88,NA,1670184108
227,kaitangata,-46.2817,169.8464,8.970000000000027,93,100,1.84,NZ,1670183998
228,tulum,20.2167,-87.4667,27.140000000000043,69,64,3.97,MX,1670184540
